timestamps,TP9,AF7,AF8,TP10,Right AUX
1605307691.678,140.137,0.000,-34.180,30.273,0.000
1605307691.682,45.410,-18.066,-49.316,0.488,0.000
1605307691.686,-154.297,-72.266,-71.289,-94.238,0.000
1605307691.690,-180.176,-72.266,-65.918,-106.934,0.000
1605307691.694,-15.625,-32.227,-55.176,-29.297,0.000
1605307691.698,137.207,14.160,-36.621,55.176,0.000
1605307691.702,222.168,134.277,96.680,165.039,0.000
1605307691.705,-63.477,17.578,7.324,-13.672,0.000
1605307691.709,-244.141,-107.910,-98.145,-153.320,0.000
1605307691.713,-43.945,-51.270,-43.945,-38.086,0.000
1605307691.717,106.934,-38.574,-38.086,30.762,0.000
1605307691.721,55.176,-51.270,-58.105,-20.508,0.000
1605307691.725,-134.277,-85.449,-78.613,-106.445,0.000
1605307691.729,-203.613,-78.125,-66.406,-104.492,0.000
1605307691.733,-48.828,-31.738,-45.898,-23.438,0.000
1605307691.737,126.953,14.160,-22.461,55.664,0.000
1605307691.741,93.750,-12.207,-33.203,17.090,0.000
1605307691.745,-110.352,-68.359,-74.219,-89.844,0.000
1605307691.748,-196.289,-65.918,-73.730,-111.328,0.000
1605307691.752,-75.195,-28.809,-62.012,-62.988,0.000
1605307691.756,182.129,51.270,24.414,91.309,0.000
1605307691.760,220.215,48.828,45.410,121.582,0.000
1605307691.764,-58.105,-47.852,-68.359,-58.105,0.000
1605307691.768,-197.754,-69.336,-87.891,-127.441,0.000
1605307691.772,-99.121,-37.598,-59.570,-69.824,0.000
1605307691.776,103.516,2.441,-35.645,34.180,0.000
1605307691.780,134.766,-6.348,-49.316,41.992,0.000
1605307691.784,-45.898,-48.340,-69.824,-48.340,0.000
1605307691.788,-195.312,-69.824,-76.172,-121.582,0.000
1605307691.791,-98.145,-29.785,-49.805,-55.664,0.000
1605307691.795,179.199,34.180,37.598,114.746,0.000
1605307691.799,187.012,21.484,-6.348,82.031,0.000
1605307691.803,-42.480,-44.922,-85.449,-62.500,0.000
1605307691.807,-193.848,-92.285,-82.031,-126.465,0.000
1605307691.811,-149.414,-68.848,-75.195,-86.914,0.000
1605307691.815,61.523,-5.371,-39.062,4.395,0.000
1605307691.819,149.414,-10.254,-33.203,26.855,0.000
1605307691.823,-10.254,-57.617,-60.547,-40.527,0.000
1605307691.827,-187.500,-85.449,-71.289,-116.699,0.000
1605307691.830,-156.250,-47.852,-55.664,-86.426,0.000
1605307691.834,39.062,-2.441,-31.738,11.719,0.000
1605307691.838,135.742,-0.977,-30.273,48.828,0.000
1605307691.842,23.926,-25.391,-45.410,-11.230,0.000
